Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2022-08-29,35,11469,8870,6284,21422,15353,19188,22022,16277,20353,20821,14428,18023,2609,704,0.048029388939760775,0.06133597829246278,0.06133597829246278,0.07515604747934425,0.11910316161877525,0.11910316161877525,0.020902730400177306,0.0035687949661503127,0.0035687949661503127,1062,981,1237,1663,1906,2402,462,57,72,3280,5971,591,207418,210109,204729
2022-09-05,36,13725,9190,6037,21087,14760,18258,22135,16575,20536,20013,12838,15846,2707,669,0.036697413827432496,0.06133597829246278,0.06133597829246278,0.05718109136930952,0.11910316161877525,0.11910316161877525,0.016213736285555475,0.0035687949661503127,0.0035687949661503127,786,942,1177,1259,1939,2424,338,51,64,2905,5622,453,210323,215731,205182
2022-09-12,37,15989,9462,5799,21092,14217,17376,22444,16891,20717,19685,11226,13638,2804,634,0.025365438715104223,0.06133597829246278,0.06133597829246278,0.0392061352592748,0.11910316161877525,0.11910316161877525,0.011524742170933645,0.0035687949661503127,0.0035687949661503127,535,905,1120,868,1974,2446,231,46,57,2560,5288,334,212883,221019,205516
2022-09-19,38,18261,9689,5571,21425,13717,16538,22938,17223,20896,19837,9586,11399,2901,599,0.014033463602775947,0.06133597829246278,0.06133597829246278,0.02123117914924008,0.11910316161877525,0.11910316161877525,0.006835748056311814,0.0035687949661503127,0.0035687949661503127,296,872,1066,477,2012,2467,135,40,49,2234,4956,224,215117,225975,205740
2022-09-26,39,20542,9872,5352,22085,13257,15743,23656,17570,21074,20337,7916,9129,2999,564,0.0027014884904476705,0.06133597829246278,0.06133597829246278,0.009488516022999305,0.11910316161877525,0.11910316161877525,0,0.0035687949661503127,0.0035687949661503127,58,841,1014,218,2051,2489,0,34,41,1913,4758,75,217030,230733,205815
2022-10-03,40,22830,10013,5141,22893,12832,14988,24464,17930,21252,21145,6211,6830,3096,529,0,0.06133597829246278,0.06133597829246278,0,0.11910316161877525,0.11910316161877525,0,0.0035687949661503127,0.0035687949661503127,0,813,966,0,2093,2510,0,28,33,1779,4603,61,218809,235336,205876
2022-10-10,41,25125,10113,4939,23791,12439,14271,25362,18302,21430,22043,4469,4501,3193,494,0,0.06133597829246278,0.06133597829246278,0,0.11910316161877525,0.11910316161877525,0,0.0035687949661503127,0.0035687949661503127,0,787,919,0,2136,2531,0,22,24,1706,4667,46,220515,240003,205922
2022-10-17,42,27428,10174,4745,24779,12074,13590,26350,18684,21608,23031,2687,2143,3291,459,0,0.06133597829246278,0.06133597829246278,0,0.11910316161877525,0.11910316161877525,0,0.0035687949661503127,0.0035687949661503127,0,763,875,0,2180,2552,0,16,16,1638,4732,32,222153,244735,205954
2022-10-24,43,29737,10197,4558,25858,11733,12943,27429,19074,21787,24110,862,187,3388,423,0,0.06133597829246278,0.06133597829246278,0,0.11910316161877525,0.11910316161877525,0,0.0035687949661503127,0.0035687949661503127,0,741,834,0,2225,2574,0,10,8,1575,4799,18,223728,249534,205972
2022-10-31,44,32052,10184,4379,27028,11414,12328,28599,19472,21965,25280,401,179,3485,388,0,0.06133597829246278,0.06133597829246278,0,0.11910316161877525,0.11910316161877525,0,0.0035687949661503127,0.0035687949661503127,0,720,794,0,2272,2595,0,3,1,1514,4867,4,225242,254401,205976
2022-11-07,45,34374,10136,4207,28289,11115,11744,29860,19872,22136,26541,401,172,3583,353,0,0.06133597829246278,0.06133597829246278,0,0.11910316161877525,0.11910316161877525,0,0.0035687949661503127,0.0035687949661503127,0,700,756,0,2319,2616,0,1,1,1456,4935,2,226698,259336,205978
2022-11-14,46,36702,10055,4041,29641,10832,11190,31212,20270,22301,27893,399,166,3680,318,0,0.06133597829246278,0.06133597829246278,0,0.11910316161877525,0.11910316161877525,0,0.0035687949661503127,0.0035687949661503127,0,682,720,0,2367,2636,0,1,1,1402,5003,2,228100,264339,205980
