week,forecast_date,arima,ets,lm,xgboost,pipeline,ensemble,lower_80,upper_80,lower_95,upper_95
23,2022-08-29,2893.892685416472,2958.1404226565546,3304.000000000005,2582.881103515625,3157.4547105332967,2863.778685478398,884.9341052723007,4902.851265560643,-178.54432716838392,5966.329698001327
24,2022-09-05,3096.544225135187,2958.1404226565546,NA,3175.67822265625,3020.326542099073,3077.505943012804,709.7288072092033,5483.359643061171,-553.7749525343265,6746.8634028047
25,2022-09-12,3226.5492820621066,2958.1404226565546,NA,3175.67822265625,2883.198373664849,3069.2249122896324,700.5923648568114,5752.506199267402,-636.5684553176952,7089.667019441908
26,2022-09-19,3309.95015259105,2958.1404226565546,NA,3176.9208984375,2746.070205230625,3052.057980810302,728.9076229038478,5890.992682278253,-637.4137590618775,7257.314064243978
27,2022-09-26,3363.453495994804,2958.1404226565546,NA,3176.9208984375,2608.9420367964003,3028.4766073824967,760.0791138054315,5966.827878184176,-618.0640367757524,7344.971028765361
28,2022-10-03,3397.7769717238325,2958.1404226565546,NA,3176.9208984375,2471.8138683621764,3001.0592604197464,785.2674028855945,6010.2865405620705,-597.711623394277,7393.265566841942
29,2022-10-10,3419.796174845979,2958.1404226565546,NA,3176.9208984375,2334.6856999279526,2971.18105893562,803.536301525769,6036.056048166189,-581.4280160244557,7421.020365716413
30,2022-10-17,3433.921938505872,2958.1404226565546,NA,3176.9208984375,2197.5575314937278,2939.724169559042,816.1201948027824,6051.723682208962,-569.6603396241958,7437.50421663594
31,2022-10-24,3442.9839012784696,2958.1404226565546,NA,3176.9208984375,2060.4293630595043,2907.254520005006,824.5478673575453,6061.419935199394,-561.5684400282398,7447.536242585179
32,2022-10-31,3448.797333477191,2958.1404226565546,NA,3176.9208984375,1923.3011946252807,2874.135164336194,830.100303202099,6067.494363752283,-556.1541673077772,7453.748834262159
33,2022-11-07,3452.526767682253,2958.1404226565546,NA,3176.9208984375,1786.1730261910568,2840.599009068651,833.7223323902654,6071.331202974241,-552.5889949010971,7457.6425302656035
34,2022-11-14,3454.9192750710813,2958.1404226565546,NA,3176.9208984375,1649.044857756833,2806.7954684378606,836.0706387202849,6073.767911421877,-550.2640871982057,7460.102637340368
35,2022-11-21,3456.454116897175,2958.1404226565546,NA,3176.9208984375,1511.9166893226081,2772.8203946945227,837.5872898981579,6075.320943896192,-548.7570655678242,7461.665299362174
