Week,Total_Predicted_Arrivals,Lower_CI_80,Upper_CI_80
2022-08-29,3834.8614377154872,1270.5850735823806,6399.137801848594
2022-09-05,4390.822438088286,1304.97254873785,7476.672327438721
2022-09-12,4801.847724334447,1576.9690975349902,8026.726351133904
2022-09-19,5135.068605093589,1849.561586510988,8420.575623676192
2022-09-26,5415.6892208954,2103.019700604348,8728.35874118645
2022-10-03,5660.749024217981,2335.7741655841846,8985.723882851778
2022-10-10,5881.767667572863,2551.19100040624,9212.344334739484
2022-10-17,6086.533100376655,2753.4007402723987,9419.665460480912
2022-10-24,6280.310425552826,2946.0109402716616,9614.609910833991
2022-10-31,6466.659156307193,3131.8264329168765,9801.491879697509
2022-11-07,6647.985728837978,3312.909328823091,9983.0621288528655
2022-11-14,6825.917032790277,3490.729268170665,10161.104797409887
