"type","week","mean","q05","q20","q80","q95"
"TOTAL",2022-08-29,2640.508,2237.95,2381,2933.4,3284.05
"TOTAL",2022-09-05,2617.539,2118,2306.8,2939.2,3339.1
"TOTAL",2022-09-12,2417.336,1816,2040.8,2770,3272.05
"TOTAL",2022-09-19,2217.92666666667,1482.95,1777.8,2635.2,3217.15
"TOTAL",2022-09-26,2091.005,1205.95,1559,2558,3302.1
"TOTAL",2022-10-03,2393.23533333333,1224.95,1707.4,2943,3936.15
"TOTAL",2022-10-10,2628.568,1266.7,1815,3285.8,4464.2
"TOTAL",2022-10-17,2796.128,1171.95,1854,3480.6,4944.4
"TOTAL",2022-10-24,2987.941,1104.95,1860.6,3774.4,5499.15
"TOTAL",2022-10-31,3181.39333333333,1053.9,1851.6,4013.4,6217
"TOTAL",2022-11-07,3395.568,991.85,1848.4,4252,6709.45
"TOTAL",2022-11-14,3607.225,930.6,1832.2,4650,7463.4
"TOTAL",2022-11-21,3844.70233333333,885.95,1808,4972.4,7954.05
